Callsign,SummitsActivated,Award,AwardDate,RemainingSummits
GM4TOE/P,77,Osprey Outlander,2011-05-01,"['GM/CS-031', 'GM/CS-051', 'GM/CS-045', 'GM/ES-088', 'GM/CS-023']"
MM1EYO/P,3,Heather Hopper,2011-04-19,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-012', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-074', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-088', 'GM/ES-024', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
MM1EYP/P,4,Heather Hopper,2010-08-26,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-012', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-074', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
GM0AXY/P,3,Heather Hopper,2011-07-27,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-012', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-074', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
GM4YMM/P,3,Heather Hopper,2011-07-27,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-012', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-074', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
MM1BJP,1,Heather Hopper,2005-06-11,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-012', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-074', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
GM4YSS/P,1,Heather Hopper,2018-05-10,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-012', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-074', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
GM4COX,22,Capercaillie Conqueror,2014-03-14,"['GM/ES-006', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/CS-088', 'GM/ES-013', 'GM/ES-052', 'GM/WS-271', 'GM/ES-007', 'GM/ES-053', 'GM/CS-086', 'GM/ES-001', 'GM/ES-023', 'GM/ES-050', 'GM/CS-061', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/ES-038', 'GM/CS-014', 'GM/CS-092', 'GM/ES-034', 'GM/CS-037', 'GM/ES-018', 'GM/ES-046', 'GM/CS-046', 'GM/ES-026', 'GM/CS-031', 'GM/CS-091', 'GM/WS-277', 'GM/ES-030', 'GM/CS-051', 'GM/ES-011', 'GM/CS-011', 'GM/ES-010', 'GM/ES-042', 'GM/CS-069', 'GM/ES-017', 'GM/ES-067', 'GM/CS-039', 'GM/CS-045', 'GM/CS-111', 'GM/ES-049', 'GM/CS-095', 'GM/CS-023', 'GM/CS-027', 'GM/ES-040', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/ES-029', 'GM/CS-030', 'GM/CS-024', 'GM/ES-024', 'GM/ES-088', 'GM/CS-035', 'GM/ES-015', 'GM/CS-084', 'GM/CS-036', 'GM/ES-066']"
GM4UXX,1,Heather Hopper,2003-07-09,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-074', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
MM1MAJ/P,14,Capercaillie Conqueror,2019-09-19,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-019', 'GM/ES-017', 'GM/CS-060', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-026', 'GM/CS-031', 'GM/CS-091', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-024', 'GM/CS-029', 'GM/ES-088', 'GM/ES-024', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
GM7PKT/P,64,Osprey Outlander,2017-09-23,"['GM/ES-006', 'GM/ES-046', 'GM/ES-026', 'GM/ES-050', 'GM/ES-005', 'GM/ES-004', 'GM/ES-078', 'GM/ES-025', 'GM/ES-011', 'GM/CS-024', 'GM/ES-042', 'GM/ES-088', 'GM/ES-067', 'GM/CS-045', 'GM/ES-015', 'GM/CS-060', 'GM/ES-055', 'GM/CS-027']"
GM1INK/P,6,Ptarmigan Pioneer,2016-08-18,"['GM/ES-006', 'GM/CS-009', 'GM/CS-088', 'GM/ES-052', 'GM/WS-271', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/CS-037', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-074', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
GM4ZFZ/P,7,Ptarmigan Pioneer,2005-12-24,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/ES-012', 'GM/ES-052', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-074', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
MM0DOE/P,6,Ptarmigan Pioneer,2004-08-08,"['GM/ES-006', 'GM/ES-036', 'GM/CS-088', 'GM/ES-012', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-074', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
MM/OE5EEP/P,1,Heather Hopper,2014-08-08,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-012', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-074', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
GM0FIM/P,5,Ptarmigan Pioneer,2005-05-06,"['GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-001', 'GM/ES-023', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-074', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-024', 'GM/CS-029', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
