Callsign,SummitsActivated,Award,AwardDate,RemainingSummits
GM0PKX/P,11,Capercaillie Conqueror,2006-04-23,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/CS-061', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-017', 'GM/CS-039', 'GM/CS-060', 'GM/CS-028', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/CS-020', 'GM/CS-092', 'GM/ES-009', 'GM/CS-037', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-074', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
MM0CBC/P,7,Ptarmigan Pioneer,2024-11-18,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/ES-012', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
GM7VJR,1,Heather Hopper,2005-06-05,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-012', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-074', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
GM7SRJ/P,3,Heather Hopper,2008-04-06,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-012', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
GM7NQP/P,5,Ptarmigan Pioneer,2006-10-08,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-012', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-017', 'GM/CS-039', 'GM/CS-060', 'GM/CS-028', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-074', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
MM3EYP/P,4,Heather Hopper,2010-08-26,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-012', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-074', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
GM6DDQ,7,Ptarmigan Pioneer,2007-05-04,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-012', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003']"
GM4MD/P,1,Heather Hopper,2014-08-24,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-012', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
MM0DHY/P,56,Osprey Outlander,2022-09-10,"['GM/ES-006', 'GM/ES-043', 'GM/ES-023', 'GM/ES-004', 'GM/CS-020', 'GM/CS-014', 'GM/ES-028', 'GM/CS-046', 'GM/ES-026', 'GM/CS-031', 'GM/CS-051', 'GM/CS-011', 'GM/ES-042', 'GM/CS-069', 'GM/ES-067', 'GM/CS-045', 'GM/ES-014', 'GM/CS-003', 'GM/CS-023', 'GM/CS-027', 'GM/ES-040', 'GM/CS-038', 'GM/CS-057', 'GM/CS-024', 'GM/ES-088', 'GM/CS-036']"
MM/HB9IAB/P,1,Heather Hopper,2018-10-18,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-012', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-074', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
GM4OIG/P,5,Ptarmigan Pioneer,2023-12-15,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
GMOUDL/P,12,Capercaillie Conqueror,2011-09-29,"['GM/ES-006', 'GM/ES-036', 'GM/CS-088', 'GM/ES-012', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/CS-112', 'GM/ES-007', 'GM/ES-053', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/ES-074', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
MM3ZCB/P,14,Capercaillie Conqueror,2019-09-19,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-019', 'GM/ES-017', 'GM/CS-060', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/ES-078', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-026', 'GM/CS-031', 'GM/CS-091', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-024', 'GM/CS-029', 'GM/ES-088', 'GM/ES-024', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
MM0BCR/P,1,Heather Hopper,2006-09-16,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-012', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-074', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
2M0AVL,1,Heather Hopper,2006-09-16,"['GM/ES-006', 'GM/ES-036', 'GM/CS-009', 'GM/CS-088', 'GM/ES-012', 'GM/ES-052', 'GM/WS-271', 'GM/CS-086', 'GM/ES-043', 'GM/ES-050', 'GM/CS-061', 'GM/ES-008', 'GM/ES-038', 'GM/CS-014', 'GM/ES-046', 'GM/CS-046', 'GM/WS-277', 'GM/ES-030', 'GM/CS-011', 'GM/ES-011', 'GM/ES-042', 'GM/ES-019', 'GM/ES-017', 'GM/CS-039', 'GM/ES-014', 'GM/CS-060', 'GM/CS-028', 'GM/ES-049', 'GM/ES-002', 'GM/CS-022', 'GM/ES-040', 'GM/CS-077', 'GM/ES-029', 'GM/CS-084', 'GM/CS-036', 'GM/CS-105', 'GM/ES-005', 'GM/CS-112', 'GM/ES-013', 'GM/ES-007', 'GM/ES-053', 'GM/ES-001', 'GM/ES-023', 'GM/ES-004', 'GM/CS-020', 'GM/CS-092', 'GM/ES-034', 'GM/ES-009', 'GM/CS-037', 'GM/ES-018', 'GM/ES-022', 'GM/ES-028', 'GM/ES-026', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/ES-074', 'GM/ES-010', 'GM/CS-051', 'GM/CS-069', 'GM/CS-045', 'GM/ES-067', 'GM/CS-111', 'GM/ES-055', 'GM/CS-003', 'GM/CS-023', 'GM/CS-095', 'GM/CS-027', 'GM/CS-038', 'GM/ES-025', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-027', 'GM/ES-088', 'GM/ES-024', 'GM/CS-035', 'GM/ES-015', 'GM/ES-003', 'GM/ES-066']"
MM0ROV/P,44,Osprey Outlander,2013-12-02,"['GM/CS-105', 'GM/CS-112', 'GM/CS-009', 'GM/CS-088', 'GM/WS-271', 'GM/CS-086', 'GM/CS-061', 'GM/CS-020', 'GM/CS-014', 'GM/CS-092', 'GM/CS-037', 'GM/CS-046', 'GM/CS-031', 'GM/CS-078', 'GM/CS-091', 'GM/WS-277', 'GM/CS-051', 'GM/CS-011', 'GM/CS-069', 'GM/CS-045', 'GM/CS-111', 'GM/CS-039', 'GM/CS-028', 'GM/CS-095', 'GM/CS-003', 'GM/CS-023', 'GM/CS-027', 'GM/CS-022', 'GM/CS-077', 'GM/CS-038', 'GM/CS-057', 'GM/CS-030', 'GM/CS-024', 'GM/CS-029', 'GM/ES-088', 'GM/CS-035', 'GM/CS-084', 'GM/CS-036']"
